0;0;0;0;land;false;unknown;0
1;230;81;119;lake;false;lakes;7
2;0;0;55;land;false;forest;1
3;0;0;205;land;false;forest;1
4;0;0;232;sea;true;ocean;0
5;0;2;240;sea;false;ocean;0
6;0;3;20;land;false;forest;6
7;0;3;170;land;false;forest;1
8;0;3;225;land;false;hills;1
9;96;189;77;land;true;mountain;4
10;0;6;85;land;false;forest;1
11;51;143;48;land;true;jungle;4
12;0;6;190;land;false;plains;6
13;174;183;12;land;true;jungle;4
14;0;9;155;land;true;plains;1
15;208;123;170;land;true;jungle;4
16;199;0;111;land;true;jungle;4
17;0;12;15;land;false;plains;1
18;0;12;165;land;false;forest;1
19;0;12;240;sea;false;ocean;0
20;0;14;248;sea;true;ocean;0
21;0;15;80;land;true;mountain;1
22;0;15;130;land;true;mountain;1
23;0;15;185;land;false;plains;6
24;245;242;47;land;false;jungle;4
25;235;125;21;land;true;jungle;4
26;0;18;45;land;false;forest;1
27;0;18;150;land;false;hills;1
28;176;52;137;land;false;mountain;4
29;0;20;248;sea;false;ocean;0
30;0;21;10;land;true;forest;1
31;0;21;65;land;false;forest;6
32;0;21;215;land;false;forest;1
33;25;178;114;land;false;jungle;4
34;89;47;136;land;false;mountain;4
35;241;166;48;land;true;mountain;4
36;225;0;90;land;true;mountain;4
37;0;24;180;land;false;forest;1
38;0;27;40;land;true;mountain;1
39;0;27;95;land;false;forest;1
40;59;27;115;land;false;jungle;4
41;0;137;51;land;false;mountain;4
42;0;151;214;land;true;jungle;4
43;0;29;244;sea;false;ocean;0
44;0;30;5;land;true;mountain;1
45;0;30;60;land;false;forest;6
46;57;176;231;land;false;mountain;4
47;0;127;56;land;false;mountain;4
48;207;169;202;land;false;jungle;4
49;0;150;217;land;false;jungle;4
50;0;162;125;land;false;mountain;4
51;147;0;111;land;true;mountain;4
52;0;36;90;land;false;plains;1
53;0;36;195;land;true;plains;1
54;204;226;99;land;false;mountain;4
55;107;16;97;land;true;mountain;4
56;230;58;118;land;true;jungle;4
57;0;39;55;land;false;forest;1
58;0;39;205;land;false;hills;1
59;0;161;228;land;false;mountain;4
60;0;42;20;land;false;forest;1
61;171;218;247;land;true;jungle;4
62;0;42;225;land;false;forest;1
63;0;45;85;land;false;forest;1
64;0;45;135;land;true;plains;1
65;0;45;190;land;true;mountain;1
66;0;48;50;land;true;plains;1
67;0;48;155;land;true;plains;1
68;0;51;15;land;true;plains;1
69;129;14;62;land;false;mountain;4
70;0;51;220;land;false;marsh;1
71;0;54;35;land;false;marsh;1
72;0;54;185;land;false;forest;1
73;0;57;0;land;false;plains;6
74;49;182;237;land;false;mountain;4
75;0;57;150;land;false;forest;1
76;0;60;10;land;false;hills;1
77;20;205;201;land;false;mountain;4
78;0;60;215;land;false;desert_africa;7
79;0;63;30;land;false;forest;1
80;217;154;9;land;false;mountain;4
81;0;66;95;land;false;forest;1
82;0;66;145;land;true;forest;1
83;0;66;200;land;true;plains;1
84;0;69;60;land;false;plains;6
85;0;69;165;land;false;forest;1
86;236;99;147;land;false;mountain;4
87;0;72;25;land;false;forest;6
88;0;72;130;land;false;forest;6
89;0;72;175;land;false;forest;1
90;4;102;221;land;false;mountain;4
91;0;75;140;land;true;mountain;1
92;150;206;19;land;false;mountain;4
93;0;78;160;land;false;plains;1
94;210;100;32;land;false;jungle;4
95;0;81;75;land;false;marsh;1
96;4;123;221;land;false;mountain;4
97;0;84;40;land;false;forest;1
98;34;211;14;land;false;mountain;4
99;0;84;190;land;false;forest;6
100;0;87;5;land;false;forest;1
101;16;175;209;land;false;mountain;4
102;0;87;155;land;false;mountain;1
